precision,recall
0.0017204452090867595,1.0
0.0017204754130018785,1.0
0.001720505617977528,1.0
0.0017205358240137644,1.0
0.001720566031110643,1.0
0.0017205962392682198,1.0
0.0017206264484865511,1.0
0.0017206566587656923,1.0
0.0017206868701056994,1.0
0.0017207170825066283,1.0
0.001720747295968535,1.0
0.0017207775104914752,1.0
0.0017208077260755048,1.0
0.00172083794272068,1.0
0.0017208681604270564,1.0
0.0017208983791946898,1.0
0.0017209285990236365,1.0
0.0017209588199139521,1.0
0.0017209890418656926,1.0
0.001721019264878914,1.0
0.0017210494889536721,1.0
0.001721079714090023,1.0
0.0017211099402880225,1.0
0.0017211401675477265,1.0
0.0017211703958691911,1.0
0.0017212308556976254,1.0
0.0017212610872047072,1.0
0.0017212913197737732,1.0
0.0017213215534048795,1.0
0.0017213517880980819,1.0
0.0017213820238534366,1.0
0.0017214122606709994,1.0
0.0017214424985508264,1.0
0.0017215029774974968,1.0
0.001721533218564452,1.0
0.0017215634606938955,1.0
0.001721593703885883,1.0
0.0017216239481404705,1.0
0.0017216844398376698,1.0
0.0017217146872803935,1.0
0.0017217449357859415,1.0
0.0017217751853543695,1.0
0.0017218054359857337,1.0
0.0017218961942580032,1.0
0.0017219264491416723,1.0
0.0017219567050885578,1.0
0.0017219869620987156,1.0
0.0017220172201722018,1.0
0.0017220474793090725,1.0
0.0017220777395093837,1.0
0.0017221080007731914,1.0
0.0017221382631005518,1.0
0.001722168526491521,1.0
0.001722198790946155,1.0
0.0017222290564645098,1.0
0.0017222593230466416,1.0
0.0017222895906926065,1.0
0.0017223198594024604,1.0
0.0017223501291762596,1.0
0.0017223804000140602,1.0
0.0017224106719159183,1.0
0.0017224409448818897,1.0
0.001722471218912031,1.0
0.0017225014940063978,1.0
0.0017225317701650468,1.0
0.0017225620473880336,1.0
0.0017225923256754144,1.0
0.0017226226050272456,1.0
0.0017226528854435831,1.0
0.0017226831669244832,1.0
0.0017227134494700019,1.0
0.0017227437330801954,1.0
0.00172277401775512,1.0
0.0017228043034948316,1.0
0.0017228345902993865,1.0
0.0017228648781688408,1.0
0.0017228951671032506,1.0
0.0017229254571026723,1.0
0.0017229557481671619,1.0
0.0017229860402967756,1.0
0.0017230163334915696,1.0
0.0017230466277516,1.0
0.001723076923076923,1.0
0.001723137516923672,1.0
0.0017231678154452103,1.0
